num	sample
0	0.738641
1	0.869079
2	0.787451
3	0.734787
4	0.59067
5	0.821616
6	0.610119
7	0.959607
8	0.987433
9	0.529279
10	0.912882
11	0.71865
12	0.75689
13	0.973224
14	-0.475025
15	-0.381755
16	-0.828505
17	0.933255
18	0.905686
19	0.950309
20	0.992717
21	0.916728
22	0.641525
23	0.906961
24	-0.221499
25	0.817115
26	-0.109013
27	0.980483
28	0.711297
29	0.577641
30	0.287714
31	0.903563
32	0.634724
33	0.757249
34	-0.839968
35	0.799679
36	0.795181
37	0.799113
38	0.980139
39	0.847265
40	0.488583
41	0.60936
42	0.857828
43	-0.542243
44	0.836806
45	0.839534
46	0.135351
47	-0.172077
48	0.404038
49	0.495975
50	0.758871
51	0.611501
52	0.996079
53	-0.301904
54	0.130611
55	-0.0362133
56	0.826959
57	0.25872
58	0.647595
59	0.234968
60	-0.0453639
61	-0.259833
62	0.829313
63	-0.131122
64	0.0907487
65	0.504654
66	0.927655
67	-0.327708
68	0.935771
69	-0.333021
70	0.991964
71	0.650502
72	0.99207
73	0.789193
74	0.883735
75	-0.684828
76	0.332062
77	-0.212392
78	0.362551
79	-0.219344
80	0.409314
81	0.577054
82	-0.51741
83	0.854428
84	0.755555
85	0.289809
86	0.71277
87	-0.344544
88	0.764106
89	0.974654
90	0.410517
91	0.837261
92	-0.159179
93	0.869792
94	0.347345
95	0.0448592
96	0.773511
97	-0.829391
98	0.931498
99	-0.958329
100	0.844522
101	0.301293
102	0.881318
103	0.986903
104	0.246667
105	0.764297
106	0.778324
107	0.760752
108	0.17416
109	0.983473
110	0.622942
111	0.939709
112	0.859036
113	0.365435
114	0.924114
115	0.550132
116	0.955103
117	0.768882
118	0.955373
119	0.854467
120	0.875312
121	0.688987
122	0.984692
123	0.820189
124	0.590955
125	0.790481
126	-0.836722
127	0.374544
128	0.832096
129	0.348879
130	0.799985
131	0.59791
132	-0.142922
133	0.367307
134	0.758658
135	0.777312
136	0.762639
137	0.827027
138	0.826221
139	0.601615
140	0.961589
141	0.502654
142	0.607762
143	0.95967
144	0.920309
145	0.861894
146	-0.311319
147	0.970834
148	0.868484
149	0.999615
150	-0.0836238
151	0.949482
152	-0.0316222
153	0.798002
154	-0.195453
155	0.940445
156	0.920876
157	0.757864
158	0.56651
159	-0.486373
160	0.857696
161	0.631354
162	0.873348
163	0.948715
164	0.991636
165	0.943995
166	-0.898166
167	0.489415
168	0.878192
169	0.00301059
170	0.71044
171	-0.580515
172	0.102029
173	-0.842129
174	0.913909
175	0.176664
176	0.462868
177	0.974186
178	0.862233
179	-0.738668
180	-0.0231477
181	0.80276
182	0.765262
183	0.216915
184	0.976539
185	0.796707
186	0.725542
187	0.776477
188	0.878271
189	0.396764
190	0.552802
191	0.133659
192	0.0553795
193	0.980373
194	0.883905
195	0.676611
196	0.186938
197	0.261517
198	-0.556378
199	0.605769
200	0.39645
201	0.856984
202	0.519906
203	0.0321015
204	-0.793316
205	-0.498131
206	0.845605
207	0.631554
208	0.726499
209	0.961641
210	0.996748
211	0.155517
212	0.834181
213	0.284602
214	-0.825053
215	0.894778
216	0.413479
217	0.529316
218	0.77509
219	0.932507
220	0.808685
221	0.95146
222	0.309942
223	0.916157
224	0.0534375
225	0.983489
226	0.8511
227	0.151263
228	0.981488
229	0.878714
230	0.260429
231	0.144488
232	0.70743
233	-0.785674
234	0.126155
235	0.592139
236	0.51391
237	0.64417
238	0.319797
239	0.773749
240	0.947597
241	-0.22504
242	0.706553
243	-0.157974
244	0.870124
245	0.549435
246	0.754459
247	0.0451713
248	-0.102721
249	0.673819
250	0.481634
251	0.978895
252	0.898668
253	0.889229
254	0.964529
255	-0.402556
256	0.74192
257	0.77172
258	0.986812
259	0.353582
260	0.225087
261	-0.31097
262	-0.859115
263	0.974744
264	0.839028
265	0.909425
266	0.329532
267	0.773421
268	-0.518615
269	0.670976
270	0.992326
271	0.95313
272	0.4493
273	0.98668
274	0.199359
275	0.98221
276	0.979251
277	0.916751
278	0.809829
279	0.952171
280	0.355554
281	0.940874
282	0.799873
283	-0.885437
284	0.466361
285	-0.0890097
286	0.993831
287	0.662354
288	0.684554
289	0.816774
290	0.504413
291	-0.136691
292	0.928203
293	0.0680045
294	0.700021
295	0.177826
296	-0.323787
297	0.946858
298	0.990723
299	0.986415
300	0.965679
301	0.903462
302	0.439634
303	-0.415784
304	0.566597
305	0.200886
306	-0.156107
307	-0.586545
308	0.87552
309	-0.900574
310	0.901568
311	-0.0939577
312	-0.424876
313	-0.368092
314	0.840521
315	0.23753
316	0.586199
317	0.746882
318	0.946127
319	0.876404
320	0.302081
321	-0.160586
322	-0.57369
323	0.374596
324	0.281548
325	0.634711
326	0.848259
327	0.856511
328	0.33373
329	0.523511
330	0.0376283
331	0.911216
332	-0.564049
333	0.857413
334	0.905976
335	0.905282
336	0.274661
337	0.513309
338	0.774463
339	0.308189
340	0.508292
341	0.0923179
342	0.639465
343	-0.646477
344	0.917055
345	-0.439805
346	0.708106
347	0.385868
348	0.765545
349	0.985909
350	0.821373
351	-0.712577
352	0.600198
353	0.698602
354	0.726093
355	0.846973
356	0.319718
357	-0.172374
358	0.544113
359	0.98481
360	0.0586385
361	0.964637
362	0.733723
363	0.635702
364	0.955503
365	0.637869
366	0.874646
367	0.554049
368	0.964661
369	0.852799
370	0.859129
371	0.428977
372	0.893873
373	0.814168
374	0.222847
375	-0.0392164
376	0.915304
377	0.985812
378	0.637275
379	0.777409
380	0.944859
381	0.636102
382	0.983152
383	0.76393
384	0.927544
385	0.966602
386	0.924969
387	-0.0436166
388	0.80862
389	0.553133
390	-0.526432
391	0.591208
392	0.272761
393	0.940918
394	-0.727752
395	0.985746
396	0.481196
397	0.483596
398	-0.859941
399	0.0520275
400	0.557495
401	0.974653
402	-0.314508
403	0.980719
404	0.95008
405	0.632157
406	0.426951
407	0.202346
408	0.797113
409	-0.729459
410	-0.865858
411	0.597948
412	-0.493061
413	0.255156
414	0.168421
415	0.258456
416	-0.162498
417	-0.895464
418	-0.234871
419	0.800359
420	0.991193
421	0.99675
422	0.56932
423	-0.0298385
424	0.816233
425	0.676433
426	0.996432
427	-0.510184
428	0.908406
429	0.345037
430	0.226717
431	0.83377
432	0.239419
433	0.836162
434	0.706478
435	0.591289
436	0.744321
437	0.341937
438	0.86362
439	0.577927
440	0.490418
441	0.931363
442	0.972979
443	-0.636799
444	0.202011
445	0.468734
446	0.924693
447	0.995093
448	0.989327
449	0.965028
450	0.363478
451	0.997316
452	0.248452
453	-0.282187
454	0.982813
455	0.204277
456	0.852628
457	-0.554262
458	0.878626
459	0.955366
460	0.30725
461	0.522072
462	0.514123
463	0.889301
464	0.216676
465	0.00383978
466	0.625801
467	0.38083
468	0.936355
469	0.216492
470	0.690179
471	0.979703
472	0.81258
473	0.949114
474	0.978812
